Tahun;Provinsi;Kabupaten/Kota;Sisa Makanan (%);Kayu-Ranting (%);Kertas-Karton (%);Plastik(%);Logam(%);Kain(%);Karet- Kulit (%);Kaca(%);Lainnya(%)
2022;Sulawesi Utara;Kab. Kepulauan Sangihe;9198;1405;1060;6526;82;673;102;408;940
2022;Sulawesi Utara;Kab. Minahasa Selatan;6905;4143;4143;12428;1381;1381;1726;690;1726
2022;Sulawesi Utara;Kab. Minahasa Utara;19639;6683;5885;7049;539;668;1013;1013;625
2022;Sulawesi Utara;Kab. Minahasa Tenggara;0;0;0;0;0;0;0;0;0
2022;Sulawesi Utara;Kab. Bolaang Mongondow Utara;3796;3163;633;3796;127;633;127;380;0
2022;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;2694;1078;2155;3233;431;539;323;323;0
2022;Sulawesi Utara;Kab. Bolaang Mongondow Timur;135;2695;404;674;0;270;135;404;8760
2022;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;739;3694;528;739;317;950;422;317;2849
2022;Sulawesi Utara;Kota Manado;50677;1211;19825;20696;276;1636;1583;1965;8372
2022;Sulawesi Utara;Kota Bitung;29144;1190;9306;8749;209;859;795;1062;6740
2022;Sulawesi Utara;Kota Tomohon;0;0;0;0;0;0;0;0;0
2022;Sulawesi Utara;Kota Kotamobagu;16833;1573;3713;2674;1793;1133;818;881;2045
2022;Sulawesi Tengah;Kab. Banggai;22693;8252;14441;10315;4126;2063;1375;1375;4126
2022;Sulawesi Tengah;Kab. Donggala;15482;4423;8847;5750;2654;1327;1327;1327;3096
2022;Sulawesi Tengah;Kab. Morowali;674;919;766;2721;950;460;613;61;919
2022;Sulawesi Tengah;Kab. Parigi Moutong;0;0;0;0;0;0;0;0;0
2022;Sulawesi Tengah;Kab. Sigi;0;0;0;0;0;0;0;0;0
2022;Sulawesi Tengah;Kab. Banggai Laut;0;0;0;0;0;0;0;0;0
2022;Sulawesi Tengah;Kab. Morowali Utara;0;0;0;0;0;0;0;0;0
2022;Sulawesi Tengah;Kota Palu;52563;570;6993;7726;1407;785;444;437;3148
2022;Sulawesi Selatan;Kab. Kepulauan Selayar;10072;1646;3022;3022;987;524;705;101;66
2022;Sulawesi Selatan;Kab. Bulukumba;0;0;0;0;0;0;0;0;0
2022;Sulawesi Selatan;Kab. Bantaeng;8907;8130;3252;4139;367;887;591;334;2956
2022;Sulawesi Selatan;Kab. Jeneponto;16577;10065;5624;11545;3256;888;2368;1184;7697
2022;Sulawesi Selatan;Kab. Sinjai;12386;5112;12225;5772;3224;342;173;31;55
2022;Sulawesi Selatan;Kab. Bone;77464;1481;14960;15848;4592;741;1629;1629;29771
2022;Sulawesi Selatan;Kab. Maros;44461;5807;1875;3944;1303;65;83;71;1344
2022;Sulawesi Selatan;Kab. Pangkajene Kepulauan;32531;5581;4633;3757;3349;371;98;799;412
2022;Sulawesi Selatan;Kab. Soppeng;14445;5847;3783;7223;1087;172;1458;52;327
2022;Sulawesi Selatan;Kab. Wajo;22781;9611;3935;9439;1125;2162;3597;1607;1170
2022;Sulawesi Selatan;Kab. Sidenreng Rappang;26424;4530;2926;3114;2123;1699;1982;2076;2312
2022;Sulawesi Selatan;Kab. Pinrang;6586;6586;26345;6586;6586;3293;3293;3293;3293
2022;Sulawesi Selatan;Kab. Enrekang;0;0;0;0;0;0;0;0;0
2022;Sulawesi Selatan;Kab. Luwu Timur;17550;4387;10969;6581;1316;439;877;877;877
2022;Sulawesi Selatan;Kab. Toraja Utara;0;0;0;0;0;0;0;0;0
2022;Sulawesi Selatan;Kota Parepare;14819;3236;3350;3463;767;539;639;809;767
2022;Sulawesi Selatan;Kota Palopo;10256;6838;6838;6838;2735;0;0;0;684
2022;Sulawesi Tenggara;Kab. Kolaka;28614;2201;4402;4402;2201;440;440;880;440
2022;Sulawesi Tenggara;Kab. Wakatobi;11782;2062;2356;8837;1473;884;589;589;884
2022;Sulawesi Tenggara;Kab. Kolaka Utara;610;203;407;407;203;203;203;203;0
2022;Sulawesi Tenggara;Kab. Buton Selatan;5284;270;363;1002;116;304;157;152;380
2022;Sulawesi Tenggara;Kota Kendari;42985;17174;16524;16987;1517;709;1044;1142;394
2022;Sulawesi Tenggara;Kota Bau Bau;1278;1825;0;183;0;0;0;0;26279
2022;Gorontalo;Kab. Gorontalo;37546;7509;8087;578;578;578;578;578;1733
2022;Gorontalo;Kab. Bone Bolango;5705;5194;2986;3622;455;0;0;237;0
2022;Gorontalo;Kab. Pohuwato;2846;2221;6965;7719;0;0;0;453;1358
2022;Gorontalo;Kota Gorontalo;8780;10329;5165;18593;1033;1549;2582;3615;0
